City,Food_Type,Quantity
Alexanderchester,Vegetarian,39
Allenton,Vegetarian,33
Allenton,Vegan,19
Amandashire,Vegan,33
Amberton,Vegan,25
Andreaborough,Vegan,8
Andrewsmouth,Non-Vegetarian,33
Annahaven,Vegetarian,11
Anneville,Non-Vegetarian,72
Anthonyborough,Vegetarian,36
Anthonyhaven,Non-Vegetarian,3
Anthonyshire,Vegan,30
Anthonyton,Vegan,3
Ashleyhaven,Non-Vegetarian,44
Bairdfort,Vegan,50
Bartonborough,Vegan,67
Basstown,Non-Vegetarian,35
Belindaville,Vegan,43
Belindaville,Vegetarian,3
Bellport,Non-Vegetarian,21
Bellport,Vegetarian,16
Bentleyburgh,Vegan,87
Blaketown,Non-Vegetarian,32
Blaketown,Vegetarian,32
Bonillahaven,Vegetarian,22
Boylechester,Vegetarian,7
Bradleyport,Non-Vegetarian,39
Bradleyport,Vegan,39
Brandyberg,Non-Vegetarian,37
Brendantown,Vegan,47
Brianside,Vegetarian,4
Brittanyland,Non-Vegetarian,29
Brittanyland,Vegetarian,23
Brittanyport,Vegetarian,9
Brittanyside,Vegan,46
Brittanyside,Vegetarian,32
Brittanyville,Vegan,1
Brookeland,Vegetarian,36
Brookeland,Vegan,2
Brownshire,Non-Vegetarian,46
Browntown,Vegan,44
Callahanside,Vegan,18
Cameronside,Vegan,7
Cannonside,Vegan,34
Carlborough,Vegan,34
Carlbury,Non-Vegetarian,40
Carlbury,Vegan,40
Carolchester,Vegetarian,33
Carolchester,Vegan,22
Carrport,Non-Vegetarian,4
Castilloport,Vegetarian,44
Castilloport,Non-Vegetarian,18
Chambersfort,Non-Vegetarian,31
Charlesmouth,Non-Vegetarian,49
Charlesview,Non-Vegetarian,18
Chelseyfort,Non-Vegetarian,21
Chelseyfort,Vegetarian,7
Christinaland,Vegan,34
Christinamouth,Non-Vegetarian,39
Christinetown,Vegan,13
Christopherstad,Vegan,22
Christopherton,Vegetarian,43
Cisnerostown,Non-Vegetarian,20
Cisnerostown,Vegetarian,18
