Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Days_To_Expiry,Quantity_Category
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,-153,Large
2,Soup,22,2025-03-24,791,Grocery Store,West James,Non-Vegetarian,Dinner,-146,Large
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast,-142,Large
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch,-154,Medium
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegan,Dinner,-151,Medium
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks,-146,Small
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegan,Dinner,-145,Large
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegetarian,Lunch,-142,Large
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,-145,Large
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,-150,Large
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegan,Breakfast,-153,Large
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch,-142,Medium
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegetarian,Snacks,-148,Large
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner,-140,Medium
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegetarian,Breakfast,-148,Small
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,-144,Medium
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks,-148,Large
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegan,Snacks,-143,Large
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast,-140,Medium
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Non-Vegetarian,Snacks,-153,Large
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner,-144,Large
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,-149,Large
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,-144,Large
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Non-Vegetarian,Lunch,-140,Medium
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,-148,Large
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner,-143,Large
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast,-147,Medium
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Vegan,Dinner,-148,Medium
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegan,Lunch,-151,Medium
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,-154,Small
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks,-148,Large
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch,-149,Large
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegetarian,Breakfast,-143,Medium
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegan,Breakfast,-140,Small
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,-147,Medium
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast,-150,Large
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,-150,Medium
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks,-148,Large
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,-148,Large
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegetarian,Breakfast,-143,Medium
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Vegetarian,Dinner,-143,Medium
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch,-154,Large
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegan,Lunch,-148,Large
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegan,Snacks,-148,Large
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch,-146,Medium
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast,-142,Large
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks,-153,Small
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast,-154,Large
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,-153,Large
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,-147,Large
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks,-143,Medium
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,-141,Large
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegetarian,Lunch,-154,Medium
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks,-153,Medium
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegetarian,Breakfast,-153,Medium
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,-147,Medium
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Vegan,Dinner,-153,Large
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,-142,Large
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,-148,Large
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast,-142,Large
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,-148,Large
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast,-149,Large
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegetarian,Dinner,-150,Medium
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,-144,Large
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,-144,Large
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,-148,Medium
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast,-146,Large
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks,-145,Medium
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,-154,Large
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegetarian,Lunch,-154,Medium
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Vegetarian,Lunch,-151,Large
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,-146,Medium
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,-151,Large
74,Chicken,12,2025-03-29,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast,-141,Medium
75,Bread,35,2025-03-24,389,Grocery Store,Davidborough,Vegetarian,Dinner,-146,Large
76,Pasta,40,2025-03-16,905,Restaurant,North Kennethshire,Vegan,Lunch,-154,Large
77,Rice,4,2025-03-19,890,Restaurant,Pereztown,Vegetarian,Lunch,-151,Small
78,Chicken,1,2025-03-23,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner,-147,Small
79,Rice,25,2025-03-19,100,Catering Service,Mooreview,Vegan,Breakfast,-151,Large
80,Dairy,36,2025-03-29,434,Restaurant,Nicoletown,Vegetarian,Breakfast,-141,Large
81,Fruits,33,2025-03-18,848,Supermarket,Fowlerbury,Vegetarian,Snacks,-152,Large
82,Vegetables,26,2025-03-23,631,Supermarket,North Kevinhaven,Non-Vegetarian,Snacks,-147,Large
83,Rice,44,2025-03-28,312,Restaurant,North Ianbury,Vegetarian,Dinner,-142,Large
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,-147,Large
85,Pasta,28,2025-03-16,554,Restaurant,Brandyberg,Vegan,Lunch,-154,Large
86,Soup,13,2025-03-30,288,Supermarket,Maynardstad,Vegetarian,Dinner,-140,Medium
87,Salad,37,2025-03-28,34,Grocery Store,North Garybury,Vegan,Breakfast,-142,Large
